# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

i 2 920 0 0 2776 2596
p 2 0 6 914 146 143
p 2 0 40 880 173 173
p 2 0 1 919 139 139
p 2 0 38 882 170 170
p 2 0 2 918 140 139
p 2 0 33 887 166 166
p 2 0 3 917 139 139
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 31 889 164 164
p 2 0 0 920 137 137
p 2 0 13 907 148 148
p 2 0 0 920 137 137
p 2 0 920 0 3089 1287
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 154 116 650 1575 825
p 2 20 461 439 1674 757
p 2 38 509 373 3181 1028
p 2 43 554 323 4111 1123
p 2 50 644 226 5876 1402
p 2 24 705 191 5076 1185
p 2 13 699 208 4746 1097
p 2 10 712 198 4923 1095
p 2 10 661 249 5123 1030
p 2 10 711 199 4806 1033
p 2 9 705 206 5179 1008
p 2 9 668 243 5064 1001
p 2 4 671 245 4576 939
p 2 85 633 202 6951 1465
p 2 114 676 130 11298 1945
p 2 76 729 115 12234 1930
p 2 0 657 263 1880 968
p 2 120 685 115 12244 1961
p 2 0 645 275 1521 877
p 2 0 527 393 826 645
p 2 0 445 475 762 546
p 2 0 416 504 575 482
p 2 0 290 630 423 383
p 2 0 273 647 377 357
p 2 436 481 3 11193 2822
i 2 920 0 0 15632 3536
p 2 556 364 0 21853 3812
p 2 407 513 0 26873 3730
p 2 0 708 212 1650 900
p 2 0 574 346 1218 711
p 2 0 597 323 1176 719
p 2 0 490 430 1120 629
p 2 0 436 484 799 554
p 2 0 356 564 719 477
p 2 0 293 627 550 412
p 2 0 277 643 606 393
p 2 0 289 631 583 413
